Municipio,Estado,Numero_Delegacias,Ano_Fundacao,Horario_Funcionamento,Ano_Conversao_24h
Sao Paulo,SP,92,1985,24h,2019
Campinas,SP,2,1986,24h,2019
Santos,SP,1,1986,24h,2019
Sorocaba,SP,1,1988,24h,2019
Ribeirao Preto,SP,1,1988,24h,2025
Guarulhos,SP,1,1988,Horario comercial,Nao se aplica
Osasco,SP,1,1988,Horario comercial,Nao se aplica
Santo Andre,SP,1,1988,Horario comercial,Nao se aplica
Sao Bernardo do Campo,SP,1,1988,Horario comercial,Nao se aplica
Sao Jose dos Campos,SP,1,1988,Horario comercial,Nao se aplica
Bauru,SP,1,1988,Horario comercial,Nao se aplica
Piracicaba,SP,1,1988,Horario comercial,Nao se aplica
Jundiai,SP,1,1988,Horario comercial,Nao se aplica
Mogi das Cruzes,SP,1,1988,Horario comercial,Nao se aplica
Franca,SP,1,1990,Horario comercial,Nao se aplica
Taubate,SP,1,1990,Horario comercial,Nao se aplica
Marilia,SP,1,1990,Horario comercial,Nao se aplica
Presidente Prudente,SP,1,1990,Horario comercial,Nao se aplica
Aracatuba,SP,1,1990,Horario comercial,Nao se aplica
Araraquara,SP,1,1990,Horario comercial,Nao se aplica
Sao Jose do Rio Preto,SP,1,1990,Horario comercial,Nao se aplica
Sao Carlos,SP,1,1990,Horario comercial,Nao se aplica
Limeira,SP,1,1990,Horario comercial,Nao se aplica
Suzano,SP,1,1990,Horario comercial,Nao se aplica
Itaquaquecetuba,SP,1,1996,Horario comercial,Nao se aplica
Diadema,SP,1,1990,Horario comercial,Nao se aplica
Carapicuiba,SP,1,1996,Horario comercial,Nao se aplica
Maua,SP,1,1996,Horario comercial,Nao se aplica
Taboao da Serra,SP,1,1996,Horario comercial,Nao se aplica
Barueri,SP,1,1996,Horario comercial,Nao se aplica
Cotia,SP,1,1996,Horario comercial,Nao se aplica
Embu das Artes,SP,1,1996,Horario comercial,Nao se aplica
Ferraz de Vasconcelos,SP,1,1996,Horario comercial,Nao se aplica
Francisco Morato,SP,1,1996,Horario comercial,Nao se aplica
Franco da Rocha,SP,1,1996,Horario comercial,Nao se aplica
Guaruja,SP,1,1990,Horario comercial,Nao se aplica
Itapecerica da Serra,SP,1,1996,Horario comercial,Nao se aplica
Itapevi,SP,1,1996,Horario comercial,Nao se aplica
Jacarei,SP,1,1996,Horario comercial,Nao se aplica
Pindamonhangaba,SP,1,1996,Horario comercial,Nao se aplica
Praia Grande,SP,1,1996,Horario comercial,Nao se aplica
Sao Vicente,SP,1,1990,Horario comercial,Nao se aplica
Cubatao,SP,1,1996,Horario comercial,Nao se aplica
Assis,SP,1,1996,Horario comercial,Nao se aplica
Atibaia,SP,1,1996,Horario comercial,Nao se aplica
Botucatu,SP,1,1996,Horario comercial,Nao se aplica
Braganca Paulista,SP,1,1996,Horario comercial,Nao se aplica
Catanduva,SP,1,1996,Horario comercial,Nao se aplica
Itapetininga,SP,1,1996,Horario comercial,Nao se aplica
Itu,SP,1,1996,Horario comercial,Nao se aplica
Jaboticabal,SP,1,1996,Horario comercial,Nao se aplica
Lins,SP,1,1996,Horario comercial,Nao se aplica
Mogi Guacu,SP,1,1996,Horario comercial,Nao se aplica
Ourinhos,SP,1,1996,Horario comercial,Nao se aplica
Registro,SP,1,1996,Horario comercial,Nao se aplica
Rio Claro,SP,1,1996,Horario comercial,Nao se aplica
Santa Barbara d'Oeste,SP,1,1996,Horario comercial,Nao se aplica
Sumare,SP,1,1996,Horario comercial,Nao se aplica
Tatui,SP,1,1996,Horario comercial,Nao se aplica
Votuporanga,SP,1,1996,Horario comercial,Nao se aplica
Americana,SP,1,1996,Horario comercial,Nao se aplica
Indaiatuba,SP,1,1996,Horario comercial,Nao se aplica
Hortolandia,SP,1,1996,Horario comercial,Nao se aplica
Bebedouro,SP,1,1996,Horario comercial,Nao se aplica
Sertaozinho,SP,1,1996,Horario comercial,Nao se aplica
Rio de Janeiro,RJ,19,1986,24h,2019
Niteroi,RJ,1,1986,Horario comercial,Nao se aplica
Duque de Caxias,RJ,1,1988,Horario comercial,Nao se aplica
Nova Iguacu,RJ,1,1988,Horario comercial,Nao se aplica
Sao Goncalo,RJ,1,1988,Horario comercial,Nao se aplica
Belford Roxo,RJ,1,1996,Horario comercial,Nao se aplica
Sao Joao de Meriti,RJ,1,1996,Horario comercial,Nao se aplica
Campos dos Goytacazes,RJ,1,1991,Horario comercial,Nao se aplica
Volta Redonda,RJ,1,1991,Horario comercial,Nao se aplica
Angra dos Reis,RJ,1,1996,Horario comercial,Nao se aplica
Cabo Frio,RJ,1,2000,Horario comercial,Nao se aplica
Nova Friburgo,RJ,1,1996,Horario comercial,Nao se aplica
Belo Horizonte,MG,30,1986,24h,1986
Contagem,MG,1,1996,Horario comercial,Nao se aplica
Betim,MG,1,1996,Horario comercial,Nao se aplica
Uberlandia,MG,1,1988,Horario comercial,Nao se aplica
Juiz de Fora,MG,1,1988,Horario comercial,Nao se aplica
Montes Claros,MG,1,1996,Horario comercial,Nao se aplica
Ibirite,MG,1,2000,Horario comercial,Nao se aplica
Nova Lima,MG,1,2000,Horario comercial,Nao se aplica
Sabara,MG,1,2000,Horario comercial,Nao se aplica
Varginha,MG,1,1996,Horario comercial,Nao se aplica
Pouso Alegre,MG,1,2000,Horario comercial,Nao se aplica
Ituiutaba,MG,1,2000,Horario comercial,Nao se aplica
Iturama,MG,1,2010,Horario comercial,Nao se aplica
Bom Despacho,MG,1,2023,Horario comercial,Nao se aplica
Campo Belo,MG,1,2023,Horario comercial,Nao se aplica
Guaxupe,MG,1,2023,Horario comercial,Nao se aplica
Januaria,MG,1,2023,Horario comercial,Nao se aplica
Juatuba,MG,1,2023,Horario comercial,Nao se aplica
Leopoldina,MG,1,2023,Horario comercial,Nao se aplica
Pirapora,MG,1,2023,Horario comercial,Nao se aplica
Sao Joao Del Rei,MG,1,2000,Horario comercial,Nao se aplica
Taiobeiras,MG,1,2023,Horario comercial,Nao se aplica
Unai,MG,1,2023,Horario comercial,Nao se aplica
Ouro Preto,MG,1,2010,Horario comercial,Nao se aplica
Salvador,BA,21,1986,24h,2017
Feira de Santana,BA,1,1988,Horario comercial,Nao se aplica
Vitoria da Conquista,BA,1,1990,Horario comercial,Nao se aplica
Ilheus,BA,1,1996,Horario comercial,Nao se aplica
Itabuna,BA,1,1996,Horario comercial,Nao se aplica
Alagoinhas,BA,1,2000,Horario comercial,Nao se aplica
Barreiras,BA,1,2000,Horario comercial,Nao se aplica
Camacari,BA,1,2000,Horario comercial,Nao se aplica
Candeias,BA,1,2005,Horario comercial,Nao se aplica
Jequie,BA,1,1996,Horario comercial,Nao se aplica
Juazeiro,BA,1,1996,Horario comercial,Nao se aplica
Paulo Afonso,BA,1,2000,Horario comercial,Nao se aplica
Porto Seguro,BA,1,2005,Horario comercial,Nao se aplica
Teixeira de Freitas,BA,1,2005,Horario comercial,Nao se aplica
Recife,PE,14,1986,24h,1986
Jaboatao dos Guararapes,PE,1,1996,24h,2023
Paulista,PE,1,2000,24h,2023
Cabo de Santo Agostinho,PE,1,2000,24h,2023
Caruaru,PE,1,1996,24h,2023
Petrolina,PE,1,1996,24h,2023
Garanhuns,PE,1,2000,Horario comercial,Nao se aplica
Vitoria de Santo Antao,PE,1,2000,Horario comercial,Nao se aplica
Palmares,PE,1,2005,Horario comercial,Nao se aplica
Arcoverde,PE,1,2005,Horario comercial,Nao se aplica
Salgueiro,PE,1,2010,Horario comercial,Nao se aplica
Afogados da Ingazeira,PE,1,2010,Horario comercial,Nao se aplica
Fortaleza,CE,13,1986,24h,2016
Caucaia,CE,1,2000,Horario comercial,Nao se aplica
Maracanau,CE,1,2005,Horario comercial,Nao se aplica
Pacatuba,CE,1,2010,Horario comercial,Nao se aplica
Sobral,CE,1,1996,Horario comercial,Nao se aplica
Juazeiro do Norte,CE,1,1996,Horario comercial,Nao se aplica
Crato,CE,1,2000,Horario comercial,Nao se aplica
Iguatu,CE,1,2005,Horario comercial,Nao se aplica
Quixada,CE,1,2010,Horario comercial,Nao se aplica
Sao Luis,MA,14,1988,24h,2019
Imperatriz,MA,1,1996,Horario comercial,Nao se aplica
Itapecuru-Mirim,MA,1,2010,Horario comercial,Nao se aplica
Pedreiras,MA,1,2010,Horario comercial,Nao se aplica
Pinheiro,MA,1,2010,Horario comercial,Nao se aplica
Presidente Dutra,MA,1,2010,Horario comercial,Nao se aplica
Rosario,MA,1,2010,Horario comercial,Nao se aplica
Santa Ines,MA,1,2005,Horario comercial,Nao se aplica
Sao Joao dos Patos,MA,1,2010,Horario comercial,Nao se aplica
Timon,MA,1,2005,Horario comercial,Nao se aplica
Viana,MA,1,2010,Horario comercial,Nao se aplica
Ze Doca,MA,1,2010,Horario comercial,Nao se aplica
Teresina,PI,15,1988,24h,2020
Parnaiba,PI,1,2000,Horario comercial,Nao se aplica
Picos,PI,1,2000,Horario comercial,Nao se aplica
Floriano,PI,1,2005,Horario comercial,Nao se aplica
Campo Maior,PI,1,2010,Horario comercial,Nao se aplica
Joao Pessoa,PB,23,1988,24h,2015
Cabedelo,PB,1,2010,Horario comercial,Nao se aplica
Bayeux,PB,1,2010,Horario comercial,Nao se aplica
Santa Rita,PB,1,2010,Horario comercial,Nao se aplica
Campina Grande,PB,2,1996,Horario comercial,Nao se aplica
Patos,PB,1,2000,Horario comercial,Nao se aplica
Sousa,PB,1,2005,Horario comercial,Nao se aplica
Cajazeiras,PB,1,2005,Horario comercial,Nao se aplica
Guarabira,PB,1,2010,Horario comercial,Nao se aplica
Picui,PB,1,2015,Horario comercial,Nao se aplica
Monteiro,PB,1,2015,Horario comercial,Nao se aplica
Solanea,PB,1,2015,Horario comercial,Nao se aplica
Catole do Rocha,PB,1,2020,Horario comercial,Nao se aplica
Juazeirinho,PB,1,2020,Horario comercial,Nao se aplica
Sape,PB,1,2020,Horario comercial,Nao se aplica
Princesa Isabel,PB,1,2020,Horario comercial,Nao se aplica
Itabaiana,PB,1,2020,Horario comercial,Nao se aplica
Natal,RN,20,1986,24h,2019
Parnamirim,RN,1,2005,Horario comercial,Nao se aplica
Sao Goncalo do Amarante,RN,1,2010,Horario comercial,Nao se aplica
Ceara-Mirim,RN,1,2010,Horario comercial,Nao se aplica
Macaiba,RN,1,2010,Horario comercial,Nao se aplica
Mossoro,RN,1,1996,Horario comercial,Nao se aplica
Assu,RN,1,2005,Horario comercial,Nao se aplica
Pau dos Ferros,RN,1,2010,Horario comercial,Nao se aplica
Nova Cruz,RN,1,2010,Horario comercial,Nao se aplica
Macau,RN,1,2010,Horario comercial,Nao se aplica
Caico,RN,1,2010,Horario comercial,Nao se aplica
Maceio,AL,5,1986,24h,2020
Arapiraca,AL,1,2000,Horario comercial,Nao se aplica
Aracaju,SE,13,1988,24h,2018
Nossa Senhora do Socorro,SE,1,2005,Horario comercial,Nao se aplica
Sao Cristovao,SE,1,2010,Horario comercial,Nao se aplica
Barra dos Coqueiros,SE,1,2015,Horario comercial,Nao se aplica
Itabaiana,SE,1,2005,Horario comercial,Nao se aplica
Estancia,SE,1,2005,Horario comercial,Nao se aplica
Lagarto,SE,1,2010,Horario comercial,Nao se aplica
Nossa Senhora da Gloria,SE,1,2010,Horario comercial,Nao se aplica
Propria,SE,1,2010,Horario comercial,Nao se aplica
Cristinapolis,SE,1,2015,Horario comercial,Nao se aplica
Tobias Barreto,SE,1,2015,Horario comercial,Nao se aplica
Curitiba,PR,10,1986,24h,2015
Londrina,PR,1,1988,Horario comercial,Nao se aplica
Maringa,PR,1,1988,Horario comercial,Nao se aplica
Foz do Iguacu,PR,1,1990,Horario comercial,Nao se aplica
Cascavel,PR,1,1990,Horario comercial,Nao se aplica
Ponta Grossa,PR,1,1996,Horario comercial,Nao se aplica
Guarapuava,PR,1,2000,Horario comercial,Nao se aplica
Toledo,PR,1,2005,Horario comercial,Nao se aplica
Florianopolis,SC,10,1988,Horario comercial,Nao se aplica
Joinville,SC,1,1988,Horario comercial,Nao se aplica
Blumenau,SC,1,1990,Horario comercial,Nao se aplica
Chapeco,SC,1,1996,Horario comercial,Nao se aplica
Criciuma,SC,1,1996,Horario comercial,Nao se aplica
Lages,SC,1,2000,Horario comercial,Nao se aplica
Itajai,SC,1,2000,Horario comercial,Nao se aplica
Tubarao,SC,1,2005,Horario comercial,Nao se aplica
Porto Alegre,RS,11,1986,24h,2012
Caxias do Sul,RS,1,1988,Horario comercial,Nao se aplica
Pelotas,RS,1,1988,Horario comercial,Nao se aplica
Santa Maria,RS,1,1990,Horario comercial,Nao se aplica
Canoas,RS,1,1996,Horario comercial,Nao se aplica
Novo Hamburgo,RS,1,1996,Horario comercial,Nao se aplica
Passo Fundo,RS,1,1996,Horario comercial,Nao se aplica
Brasilia,DF,4,1987,24h,1987
Goiania,GO,18,1986,24h,2020
Aparecida de Goiania,GO,1,2000,Horario comercial,Nao se aplica
Anapolis,GO,1,1996,Horario comercial,Nao se aplica
Trindade,GO,1,2005,Horario comercial,Nao se aplica
Caldas Novas,GO,1,2005,Horario comercial,Nao se aplica
Itumbiara,GO,1,2000,Horario comercial,Nao se aplica
Goianesia,GO,1,2005,Horario comercial,Nao se aplica
Jatai,GO,1,2005,Horario comercial,Nao se aplica
Rio Verde,GO,1,2000,Horario comercial,Nao se aplica
Catalao,GO,1,2005,Horario comercial,Nao se aplica
Porangatu,GO,1,2010,Horario comercial,Nao se aplica
Senador Canedo,GO,1,2010,Horario comercial,Nao se aplica
Mineiros,GO,1,2010,Horario comercial,Nao se aplica
Cuiaba,MT,10,1986,24h,2020
Varzea Grande,MT,1,2000,Horario comercial,Nao se aplica
Rondonopolis,MT,1,1996,Horario comercial,Nao se aplica
Barra do Garcas,MT,1,2000,Horario comercial,Nao se aplica
Caceres,MT,1,2000,Horario comercial,Nao se aplica
Sinop,MT,1,2005,Horario comercial,Nao se aplica
Tangara da Serra,MT,1,2005,Horario comercial,Nao se aplica
Primavera do Leste,MT,1,2010,Horario comercial,Nao se aplica
Campo Grande,MS,15,1988,24h,2015
Dourados,MS,1,1996,Horario comercial,Nao se aplica
Corumba,MS,1,2000,Horario comercial,Nao se aplica
Tres Lagoas,MS,1,2000,Horario comercial,Nao se aplica
Ponta Pora,MS,1,2005,Horario comercial,Nao se aplica
Aquidauana,MS,1,2005,Horario comercial,Nao se aplica
Navirai,MS,1,2010,Horario comercial,Nao se aplica
Nova Andradina,MS,1,2010,Horario comercial,Nao se aplica
Paranaiba,MS,1,2010,Horario comercial,Nao se aplica
Coxim,MS,1,2010,Horario comercial,Nao se aplica
Bataguassu,MS,1,2010,Horario comercial,Nao se aplica
Fatima do Sul,MS,1,2010,Horario comercial,Nao se aplica
Jardim,MS,1,2010,Horario comercial,Nao se aplica
Vitoria,ES,15,1988,24h,2012
Vila Velha,ES,1,1996,Horario comercial,Nao se aplica
Serra,ES,1,1996,Horario comercial,Nao se aplica
Cariacica,ES,1,2000,Horario comercial,Nao se aplica
Viana,ES,1,2005,Horario comercial,Nao se aplica
Guarapari,ES,1,2000,Horario comercial,Nao se aplica
Aracruz,ES,1,2005,Horario comercial,Nao se aplica
Sao Mateus,ES,1,2000,Horario comercial,Nao se aplica
Linhares,ES,1,2000,Horario comercial,Nao se aplica
Colatina,ES,1,2005,Horario comercial,Nao se aplica
Cachoeiro de Itapemirim,ES,1,1996,Horario comercial,Nao se aplica
Nova Venecia,ES,1,2010,Horario comercial,Nao se aplica
Venda Nova do Imigrante,ES,1,2015,Horario comercial,Nao se aplica
Belem,PA,19,1988,24h,2018
Ananindeua,PA,1,2000,24h,2020
Maraba,PA,1,1996,24h,2020
Santarem,PA,1,1996,24h,2022
Castanhal,PA,1,2000,24h,2022
Abaetetuba,PA,1,2005,Horario comercial,Nao se aplica
Altamira,PA,1,2005,Horario comercial,Nao se aplica
Barcarena,PA,1,2010,Horario comercial,Nao se aplica
Braganca,PA,1,2005,Horario comercial,Nao se aplica
Breves,PA,1,2010,Horario comercial,Nao se aplica
Capanema,PA,1,2010,Horario comercial,Nao se aplica
Marituba,PA,1,2010,Horario comercial,Nao se aplica
Paragominas,PA,1,2005,Horario comercial,Nao se aplica
Redencao,PA,1,2005,Horario comercial,Nao se aplica
Soure,PA,1,2010,Horario comercial,Nao se aplica
Tucurui,PA,1,2005,Horario comercial,Nao se aplica
Manaus,AM,7,1988,24h,2015
Tabatinga,AM,1,2005,Horario comercial,Nao se aplica
Labrea,AM,1,2010,Horario comercial,Nao se aplica
Eirunepe,AM,1,2010,Horario comercial,Nao se aplica
Parintins,AM,1,2005,Horario comercial,Nao se aplica
Porto Velho,RO,10,1988,Horario comercial,Nao se aplica
Ariquemes,RO,1,2000,Horario comercial,Nao se aplica
Ji-Parana,RO,1,2000,Horario comercial,Nao se aplica
Cacoal,RO,1,2005,Horario comercial,Nao se aplica
Vilhena,RO,1,2005,Horario comercial,Nao se aplica
Jaru,RO,1,2010,Horario comercial,Nao se aplica
Rolim de Moura,RO,1,2010,Horario comercial,Nao se aplica
Guajara-Mirim,RO,1,2005,Horario comercial,Nao se aplica
Rio Branco,AC,3,1988,24h,2023
Cruzeiro do Sul,AC,1,2005,Horario comercial,Nao se aplica
Macapa,AP,2,1996,24h,2020
Boa Vista,RR,2,1996,24h,2024
Palmas,TO,11,1990,24h,2019
Gurupi,TO,1,2000,Horario comercial,Nao se aplica
Dianopolis,TO,1,2005,Horario comercial,Nao se aplica
Arraias,TO,1,2010,Horario comercial,Nao se aplica
Paraiso do Tocantins,TO,1,2005,Horario comercial,Nao se aplica
Miracema do Tocantins,TO,1,2005,Horario comercial,Nao se aplica
Porto Nacional,TO,1,2005,Horario comercial,Nao se aplica
